,Likely_distance
0,1.0947375
1,1.0989
2,1.0989
3,1.1030624999999998
4,1.1030624999999998
5,1.0989
6,1.1030624999999998
7,1.0989
8,1.0989
9,1.0989
10,1.0989
11,1.0989
12,1.0989
13,1.0989
14,1.0989
15,1.0989
16,1.0989
17,1.0947375
18,1.0947375
19,1.0947375
20,1.0947375
21,1.0947375
22,1.0947375
23,1.0947375
24,1.0947375
25,1.0947375
26,1.0989
27,1.0989
28,1.0947375
29,1.0989
30,1.0989
31,1.0989
32,1.0989
33,1.0989
34,1.0989
35,1.0989
36,1.0989
37,1.0905749999999999
38,1.0947375
39,1.0947375
40,1.0947375
41,1.0947375
42,1.0989
43,1.0947375
44,1.0989
45,1.0989
46,1.0989
47,1.0947375
48,1.0989
49,1.0989
50,1.0989
51,1.0989
52,1.0989
53,1.0947375
54,1.0947375
55,1.0947375
56,1.0905749999999999
57,1.0947375
58,1.0905749999999999
59,1.0905749999999999
60,1.0905749999999999
61,1.0905749999999999
62,1.0864124999999998
63,1.0864124999999998
64,1.0947375
65,1.0947375
66,1.0947375
67,1.0989
68,1.0989
69,1.0989
70,1.0989
71,1.0989
72,1.0989
73,1.0989
74,1.0989
75,1.0989
76,1.0947375
77,1.0947375
78,1.0947375
79,1.0947375
80,1.0947375
81,1.0947375
82,1.0947375
83,1.0947375
84,1.0947375
85,1.0947375
86,1.0947375
87,1.0947375
88,1.0947375
89,1.0989
90,1.0947375
91,1.0989
92,1.0947375
93,1.0947375
94,1.0947375
95,1.0947375
96,1.0947375
97,1.0947375
98,1.0947375
99,1.0947375
