,Likely_distance
0,2.5307999999999997
1,2.5307999999999997
2,2.5307999999999997
3,2.5307999999999997
4,2.5349625
5,2.5349625
6,2.5349625
7,2.5349625
8,2.5349625
9,2.5349625
10,2.5349625
11,2.5349625
12,2.539125
13,2.539125
14,2.539125
15,2.539125
16,2.539125
17,2.539125
18,2.539125
19,2.539125
20,2.539125
21,2.5432875
22,2.539125
23,2.5432875
24,2.5432875
25,2.539125
26,2.5432875
27,2.5432875
28,2.5432875
29,2.5432875
30,2.5432875
31,2.5432875
32,2.5432875
33,2.5432875
34,2.5432875
35,2.5474499999999995
36,2.5432875
37,2.5432875
38,2.5432875
39,2.5432875
40,2.5432875
41,2.5474499999999995
42,2.5474499999999995
43,2.5432875
44,2.5474499999999995
45,2.5474499999999995
46,2.5474499999999995
47,2.5474499999999995
48,2.5474499999999995
49,2.5474499999999995
50,2.5474499999999995
51,2.5474499999999995
52,2.5474499999999995
53,2.5474499999999995
54,2.5474499999999995
55,2.5474499999999995
56,2.5474499999999995
57,2.5474499999999995
58,2.5474499999999995
59,2.5516124999999996
60,2.5516124999999996
61,2.5516124999999996
62,2.5516124999999996
63,2.5516124999999996
64,2.5516124999999996
65,2.5516124999999996
66,2.5516124999999996
67,2.5516124999999996
68,2.5516124999999996
69,2.5516124999999996
70,2.5516124999999996
71,2.5516124999999996
72,2.5516124999999996
73,2.5516124999999996
74,2.5516124999999996
75,2.5516124999999996
76,2.5516124999999996
77,2.5516124999999996
78,2.5516124999999996
79,2.5516124999999996
80,2.5516124999999996
81,2.5516124999999996
82,2.5516124999999996
83,2.5516124999999996
84,2.5516124999999996
85,2.5516124999999996
86,2.5516124999999996
87,2.5474499999999995
88,2.5516124999999996
89,2.5474499999999995
90,2.5474499999999995
91,2.5516124999999996
92,2.5474499999999995
93,2.5474499999999995
94,2.5474499999999995
95,2.5474499999999995
96,2.5474499999999995
97,2.5474499999999995
98,2.5474499999999995
99,2.5474499999999995
